# Lorenzo Manunza 14th April 2025

197128 atoms
1 atom types

-739.08340 739.08340 xlo xhi
-87.33000 87.33000 ylo yhi
-5000.00000 5003.35000 zlo zhi

Masses

1 12.011 # C

Atoms

   338 1  530.639746 -85.91 0.00
   339 1  530.639746 -84.49 0.00
   340 1  531.869502 -83.78 0.00
   341 1  529.409990 -86.62 0.00
   342 1  528.180234 -85.91 0.00
   343 1  528.180234 -84.49 0.00
   344 1  529.409990 -83.78 0.00
   345 1  526.950477 -86.62 0.00
   346 1  525.720721 -85.91 0.00
   347 1  525.720721 -84.49 0.00
   348 1  526.950477 -83.78 0.00
   349 1  524.490965 -86.62 0.00
   350 1  523.261209 -85.91 0.00
   351 1  523.261209 -84.49 0.00
   352 1  524.490965 -83.78 0.00
   353 1  522.031453 -86.62 0.00
   354 1  520.801697 -85.91 0.00
   355 1  520.801697 -84.49 0.00
   356 1  522.031453 -83.78 0.00
   357 1  519.571941 -86.62 0.00
   358 1  518.342185 -85.91 0.00
   359 1  518.342185 -84.49 0.00
   360 1  519.571941 -83.78 0.00
   361 1  517.112429 -86.62 0.00
   362 1  515.882673 -85.91 0.00
   363 1  515.882673 -84.49 0.00
   364 1  517.112429 -83.78 0.00
   365 1  514.652917 -86.62 0.00
   366 1  513.423161 -85.91 0.00
   367 1  513.423161 -84.49 0.00
   368 1  514.652917 -83.78 0.00
   369 1  512.193405 -86.62 0.00
   370 1  510.963648 -85.91 0.00
   371 1  510.963648 -84.49 0.00
   372 1  512.193405 -83.78 0.00
   373 1  509.733892 -86.62 0.00
   374 1  508.504136 -85.91 0.00
   375 1  508.504136 -84.49 0.00
   376 1  509.733892 -83.78 0.00
   377 1  507.274380 -86.62 0.00
   378 1  506.044624 -85.91 0.00
   379 1  506.044624 -84.49 0.00
   380 1  507.274380 -83.78 0.00
   381 1  504.814868 -86.62 0.00
   382 1  503.585112 -85.91 0.00
   383 1  503.585112 -84.49 0.00
   384 1  504.814868 -83.78 0.00
   385 1  502.355356 -86.62 0.00
   386 1  501.125600 -85.91 0.00
   387 1  501.125600 -84.49 0.00
   388 1  502.355356 -83.78 0.00
   389 1  499.895844 -86.62 0.00
   390 1  498.666088 -85.91 0.00
   391 1  498.666088 -84.49 0.00
   392 1  499.895844 -83.78 0.00
   393 1  497.436332 -86.62 0.00
   394 1  496.206576 -85.91 0.00
   395 1  496.206576 -84.49 0.00
   396 1  497.436332 -83.78 0.00
   397 1  494.976820 -86.62 0.00
   398 1  493.747063 -85.91 0.00
   399 1  493.747063 -84.49 0.00
   400 1  494.976820 -83.78 0.00
   401 1  492.517307 -86.62 0.00
   402 1  491.287551 -85.91 0.00
   403 1  491.287551 -84.49 0.00
   404 1  492.517307 -83.78 0.00
   405 1  490.057795 -86.62 0.00
   406 1  488.828039 -85.91 0.00
   407 1  488.828039 -84.49 0.00
   408 1  490.057795 -83.78 0.00
   409 1  487.598283 -86.62 0.00
   410 1  486.368527 -85.91 0.00
   411 1  486.368527 -84.49 0.00
   412 1  487.598283 -83.78 0.00
   413 1  485.138771 -86.62 0.00
   414 1  483.909015 -85.91 0.00
   415 1  483.909015 -84.49 0.00
   416 1  485.138771 -83.78 0.00
   417 1  482.679259 -86.62 0.00
   418 1  481.449503 -85.91 0.00
   419 1  481.449503 -84.49 0.00
   420 1  482.679259 -83.78 0.00
   421 1  480.219747 -86.62 0.00
   422 1  478.989991 -85.91 0.00
   423 1  478.989991 -84.49 0.00
   424 1  480.219747 -83.78 0.00
   425 1  477.760235 -86.62 0.00
   426 1  476.530478 -85.91 0.00
   427 1  476.530478 -84.49 0.00
   428 1  477.760235 -83.78 0.00
   429 1  475.300722 -86.62 0.00
   430 1  474.070966 -85.91 0.00
   431 1  474.070966 -84.49 0.00
   432 1  475.300722 -83.78 0.00
   433 1  472.841210 -86.62 0.00
   434 1  471.611454 -85.91 0.00
   435 1  471.611454 -84.49 0.00
   436 1  472.841210 -83.78 0.00
   437 1  470.381698 -86.62 0.00
   438 1  469.151942 -85.91 0.00
   439 1  469.151942 -84.49 0.00
   440 1  470.381698 -83.78 0.00
   441 1  467.922186 -86.62 0.00
   442 1  466.692430 -85.91 0.00
   443 1  466.692430 -84.49 0.00
   444 1  467.922186 -83.78 0.00
   445 1  465.462674 -86.62 0.00
   446 1  464.232918 -85.91 0.00
   447 1  464.232918 -84.49 0.00
   448 1  465.462674 -83.78 0.00
   449 1  463.003162 -86.62 0.00
   450 1  461.773406 -85.91 0.00
   451 1  461.773406 -84.49 0.00
   452 1  463.003162 -83.78 0.00
   453 1  460.543649 -86.62 0.00
   454 1  459.313893 -85.91 0.00
   455 1  459.313893 -84.49 0.00
   456 1  460.543649 -83.78 0.00
   457 1  458.084137 -86.62 0.00
   458 1  456.854381 -85.91 0.00
   459 1  456.854381 -84.49 0.00
