# Lorenzo Manunza 14th April 2025

118244 atoms
1 atom types

-886.65413 886.65413 xlo xhi
-87.33000 87.33000 ylo yhi
-5000.00000 5000.00000 zlo zhi

Masses

1 12.011 # C

Atoms

   589 1  524.490965 -86.62 0.0
   590 1  523.261209 -85.91 0.0
   591 1  523.261209 -84.49 0.0
   592 1  524.490965 -83.78 0.0
   593 1  522.031453 -86.62 0.0
   594 1  520.801697 -85.91 0.0
   595 1  520.801697 -84.49 0.0
   596 1  522.031453 -83.78 0.0
   597 1  519.571941 -86.62 0.0
   598 1  518.342185 -85.91 0.0
   599 1  518.342185 -84.49 0.0
   600 1  519.571941 -83.78 0.0
   601 1  517.112429 -86.62 0.0
   602 1  515.882673 -85.91 0.0
   603 1  515.882673 -84.49 0.0
   604 1  517.112429 -83.78 0.0
   605 1  514.652917 -86.62 0.0
   606 1  513.423161 -85.91 0.0
   607 1  513.423161 -84.49 0.0
   608 1  514.652917 -83.78 0.0
   609 1  512.193405 -86.62 0.0
   610 1  510.963648 -85.91 0.0
   611 1  510.963648 -84.49 0.0
   612 1  512.193405 -83.78 0.0
   613 1  509.733892 -86.62 0.0
   614 1  508.504136 -85.91 0.0
   615 1  508.504136 -84.49 0.0
   616 1  509.733892 -83.78 0.0
   617 1  507.274380 -86.62 0.0
   618 1  506.044624 -85.91 0.0
   619 1  506.044624 -84.49 0.0
   620 1  507.274380 -83.78 0.0
   621 1  504.814868 -86.62 0.0
   622 1  503.585112 -85.91 0.0
   623 1  503.585112 -84.49 0.0
   624 1  504.814868 -83.78 0.0
   625 1  502.355356 -86.62 0.0
   626 1  501.125600 -85.91 0.0
   627 1  501.125600 -84.49 0.0
   628 1  502.355356 -83.78 0.0
   629 1  499.895844 -86.62 0.0
   630 1  498.666088 -85.91 0.0
   631 1  498.666088 -84.49 0.0
   632 1  499.895844 -83.78 0.0
   633 1  497.436332 -86.62 0.0
   634 1  496.206576 -85.91 0.0
   635 1  496.206576 -84.49 0.0
   636 1  497.436332 -83.78 0.0
   637 1  494.976820 -86.62 0.0
   638 1  493.747063 -85.91 0.0
   639 1  493.747063 -84.49 0.0
   640 1  494.976820 -83.78 0.0
   641 1  492.517307 -86.62 0.0
   642 1  491.287551 -85.91 0.0
   643 1  491.287551 -84.49 0.0
   644 1  492.517307 -83.78 0.0
   645 1  490.057795 -86.62 0.0
   646 1  488.828039 -85.91 0.0
   647 1  488.828039 -84.49 0.0
   648 1  490.057795 -83.78 0.0
   649 1  487.598283 -86.62 0.0
   650 1  486.368527 -85.91 0.0
   651 1  486.368527 -84.49 0.0
   652 1  487.598283 -83.78 0.0
   653 1  485.138771 -86.62 0.0
   654 1  483.909015 -85.91 0.0
   655 1  483.909015 -84.49 0.0
   656 1  485.138771 -83.78 0.0
   657 1  482.679259 -86.62 0.0
   658 1  481.449503 -85.91 0.0
   659 1  481.449503 -84.49 0.0
   660 1  482.679259 -83.78 0.0
   661 1  480.219747 -86.62 0.0
   662 1  478.989991 -85.91 0.0
   663 1  478.989991 -84.49 0.0
   664 1  480.219747 -83.78 0.0
   665 1  477.760235 -86.62 0.0
   666 1  476.530478 -85.91 0.0
   667 1  476.530478 -84.49 0.0
   668 1  477.760235 -83.78 0.0
   669 1  475.300722 -86.62 0.0
   670 1  474.070966 -85.91 0.0
   671 1  474.070966 -84.49 0.0
   672 1  475.300722 -83.78 0.0
