# Lorenzo Manunza 14th April 2025

39524 atoms
1 atom types

-296.37121 296.37121 xlo xhi
-87.33000 87.33000 ylo yhi
-5000.00000 5000.00000 zlo zhi

Masses

1 12.011 # C

Atoms

  445 1   22.750487 -86.62 0.0
  446 1   21.520731 -85.91 0.0
  447 1   21.520731 -84.49 0.0
  448 1   22.750487 -83.78 0.0
  449 1   20.290975 -86.62 0.0
  450 1   19.061219 -85.91 0.0
  451 1   19.061219 -84.49 0.0
  452 1   20.290975 -83.78 0.0
  453 1   17.831463 -86.62 0.0
  454 1   16.601707 -85.91 0.0
  455 1   16.601707 -84.49 0.0
  456 1   17.831463 -83.78 0.0
  457 1   15.371951 -86.62 0.0
  458 1   14.142195 -85.91 0.0
  459 1   14.142195 -84.49 0.0
  460 1   15.371951 -83.78 0.0
  461 1   12.912439 -86.62 0.0
  462 1   11.682683 -85.91 0.0
  463 1   11.682683 -84.49 0.0
  464 1   12.912439 -83.78 0.0
  465 1   10.452927 -86.62 0.0
  466 1    9.223171 -85.91 0.0
  467 1    9.223171 -84.49 0.0
  468 1   10.452927 -83.78 0.0
  469 1    7.993414 -86.62 0.0
  470 1    6.763658 -85.91 0.0
  471 1    6.763658 -84.49 0.0
  472 1    7.993414 -83.78 0.0
  473 1    5.533902 -86.62 0.0
  474 1    4.304146 -85.91 0.0
  475 1    4.304146 -84.49 0.0
  476 1    5.533902 -83.78 0.0
  477 1    3.074390 -86.62 0.0
  478 1    1.844634 -85.91 0.0
  479 1    1.844634 -84.49 0.0
  480 1    3.074390 -83.78 0.0
  481 1    0.614878 -86.62 0.0
  482 1   -0.614878 -85.91 0.0
  483 1   -0.614878 -84.49 0.0
  484 1    0.614878 -83.78 0.0
  485 1   -1.844634 -86.62 0.0
  486 1   -3.074390 -85.91 0.0
  487 1   -3.074390 -84.49 0.0
  488 1   -1.844634 -83.78 0.0
  489 1   -4.304146 -86.62 0.0
  490 1   -5.533902 -85.91 0.0
  491 1   -5.533902 -84.49 0.0
  492 1   -4.304146 -83.78 0.0
  493 1   -6.763658 -86.62 0.0
  494 1   -7.993414 -85.91 0.0
  495 1   -7.993414 -84.49 0.0
  496 1   -6.763658 -83.78 0.0
  497 1   -9.223171 -86.62 0.0
  498 1  -10.452927 -85.91 0.0
  499 1  -10.452927 -84.49 0.0
  500 1   -9.223171 -83.78 0.0
  501 1  -11.682683 -86.62 0.0
  502 1  -12.912439 -85.91 0.0
  503 1  -12.912439 -84.49 0.0
  504 1  -11.682683 -83.78 0.0
  505 1  -14.142195 -86.62 0.0
  506 1  -15.371951 -85.91 0.0
  507 1  -15.371951 -84.49 0.0
  508 1  -14.142195 -83.78 0.0
  509 1  -16.601707 -86.62 0.0
  510 1  -17.831463 -85.91 0.0
  511 1  -17.831463 -84.49 0.0
  512 1  -16.601707 -83.78 0.0
  513 1  -19.061219 -86.62 0.0
  514 1  -20.290975 -85.91 0.0
  515 1  -20.290975 -84.49 0.0
  516 1  -19.061219 -83.78 0.0
  517 1  -21.520731 -86.62 0.0
  518 1  -22.750487 -85.91 0.0
  519 1  -22.750487 -84.49 0.0
  520 1  -21.520731 -83.78 0.0
  521 1  -23.980243 -86.62 0.0
  522 1  -25.210000 -85.91 0.0
  523 1  -25.210000 -84.49 0.0
  524 1  -23.980243 -83.78 0.0
  525 1  -26.439756 -86.62 0.0
  526 1  -27.669512 -85.91 0.0
  527 1  -27.669512 -84.49 0.0
  528 1  -26.439756 -83.78 0.0
  529 1  -28.899268 -86.62 0.0
  530 1  -30.129024 -85.91 0.0
  531 1  -30.129024 -84.49 0.0
  532 1  -28.899268 -83.78 0.0
  533 1  -31.358780 -86.62 0.0
  534 1  -32.588536 -85.91 0.0
  535 1  -32.588536 -84.49 0.0
  536 1  -31.358780 -83.78 0.0
  537 1  -33.818292 -86.62 0.0
  538 1  -35.048048 -85.91 0.0
  539 1  -35.048048 -84.49 0.0
  540 1  -33.818292 -83.78 0.0
  541 1  -36.277804 -86.62 0.0
  542 1  -37.507560 -85.91 0.0
  543 1  -37.507560 -84.49 0.0
  544 1  -36.277804 -83.78 0.0
  545 1  -38.737316 -86.62 0.0
  546 1  -39.967072 -85.91 0.0
  547 1  -39.967072 -84.49 0.0
  548 1  -38.737316 -83.78 0.0
  549 1  -41.196828 -86.62 0.0
  550 1  -42.426585 -85.91 0.0
  551 1  -42.426585 -84.49 0.0
  552 1  -41.196828 -83.78 0.0
  553 1  -43.656341 -86.62 0.0
  554 1  -44.886097 -85.91 0.0
  555 1  -44.886097 -84.49 0.0
  556 1  -43.656341 -83.78 0.0
  557 1  -46.115853 -86.62 0.0
  558 1  -47.345609 -85.91 0.0
  559 1  -47.345609 -84.49 0.0
  560 1  -46.115853 -83.78 0.0
  561 1  -48.575365 -86.62 0.0
  562 1  -49.805121 -85.91 0.0
  563 1  -49.805121 -84.49 0.0
  564 1  -48.575365 -83.78 0.0
  565 1  -51.034877 -86.62 0.0
  566 1  -52.264633 -85.91 0.0
