# Lorenzo Manunza 14th April 2025

157768 atoms
1 atom types

-591.51267 591.51267 xlo xhi
-87.33000 87.33000 ylo yhi
-5000.00000 5003.35000 zlo zhi

Masses

1 12.011 # C

Atoms

   227 1  451.935357 -84.49 0.00
   228 1  453.165113 -83.78 0.00
   229 1  450.705601 -86.62 0.00
   230 1  449.475845 -85.91 0.00
   231 1  449.475845 -84.49 0.00
   232 1  450.705601 -83.78 0.00
   233 1  448.246089 -86.62 0.00
   234 1  447.016333 -85.91 0.00
   235 1  447.016333 -84.49 0.00
   236 1  448.246089 -83.78 0.00
   237 1  445.786577 -86.62 0.00
   238 1  444.556821 -85.91 0.00
   239 1  444.556821 -84.49 0.00
   240 1  445.786577 -83.78 0.00
   241 1  443.327064 -86.62 0.00
   242 1  442.097308 -85.91 0.00
   243 1  442.097308 -84.49 0.00
   244 1  443.327064 -83.78 0.00
   245 1  440.867552 -86.62 0.00
   246 1  439.637796 -85.91 0.00
   247 1  439.637796 -84.49 0.00
   248 1  440.867552 -83.78 0.00
   249 1  438.408040 -86.62 0.00
   250 1  437.178284 -85.91 0.00
   251 1  437.178284 -84.49 0.00
   252 1  438.408040 -83.78 0.00
   253 1  435.948528 -86.62 0.00
   254 1  434.718772 -85.91 0.00
   255 1  434.718772 -84.49 0.00
   256 1  435.948528 -83.78 0.00
   257 1  433.489016 -86.62 0.00
   258 1  432.259260 -85.91 0.00
   259 1  432.259260 -84.49 0.00
   260 1  433.489016 -83.78 0.00
   261 1  431.029504 -86.62 0.00
   262 1  429.799748 -85.91 0.00
   263 1  429.799748 -84.49 0.00
   264 1  431.029504 -83.78 0.00
   265 1  428.569992 -86.62 0.00
   266 1  427.340235 -85.91 0.00
   267 1  427.340235 -84.49 0.00
   268 1  428.569992 -83.78 0.00
   269 1  426.110479 -86.62 0.00
   270 1  424.880723 -85.91 0.00
   271 1  424.880723 -84.49 0.00
   272 1  426.110479 -83.78 0.00
   273 1  423.650967 -86.62 0.00
   274 1  422.421211 -85.91 0.00
   275 1  422.421211 -84.49 0.00
   276 1  423.650967 -83.78 0.00
   277 1  421.191455 -86.62 0.00
   278 1  419.961699 -85.91 0.00
   279 1  419.961699 -84.49 0.00
   280 1  421.191455 -83.78 0.00
   281 1  418.731943 -86.62 0.00
   282 1  417.502187 -85.91 0.00
   283 1  417.502187 -84.49 0.00
   284 1  418.731943 -83.78 0.00
   285 1  416.272431 -86.62 0.00
   286 1  415.042675 -85.91 0.00
   287 1  415.042675 -84.49 0.00
   288 1  416.272431 -83.78 0.00
   289 1  413.812919 -86.62 0.00
   290 1  412.583163 -85.91 0.00
   291 1  412.583163 -84.49 0.00
   292 1  413.812919 -83.78 0.00
   293 1  411.353407 -86.62 0.00
   294 1  410.123650 -85.91 0.00
   295 1  410.123650 -84.49 0.00
   296 1  411.353407 -83.78 0.00
   297 1  408.893894 -86.62 0.00
   298 1  407.664138 -85.91 0.00
   299 1  407.664138 -84.49 0.00
   300 1  408.893894 -83.78 0.00
   301 1  406.434382 -86.62 0.00
   302 1  405.204626 -85.91 0.00
   303 1  405.204626 -84.49 0.00
   304 1  406.434382 -83.78 0.00
   305 1  403.974870 -86.62 0.00
   306 1  402.745114 -85.91 0.00
